city,d,kappa,generator,K,D,Kprime,L1,h1,Bmax,Btheory
Amsterdam,46315759,2,ipsp_rho4,5,2,5,84.84312182007994,12,187.2438940893931,34007.839185940466
Amsterdam,46315759,2,ipsp_rho4,15,2,15,84.84312182007994,12,703.2568249321399,67872058702.23671
Amsterdam,46315759,2,ipsp_rho125,3,1,3,84.84312182007994,12,100.1064341406524,170.0673778438749
Amsterdam,46315759,2,ipsp_rho125,5,1,5,84.84312182007994,12,116.85487534099143,324.3240278810546
Amsterdam,46315759,2,ipsp_rho125,15,2,15,84.84312182007994,12,226.72293540903408,5748.986991877245
Amsterdam,46315759,2,yen,3,1,3,84.84312182007994,12,84.91837629439523,84.91837629439523
Amsterdam,46315759,2,eps10,3,1,3,84.84312182007994,12,84.91837629439523,93.32743400208794
Amsterdam,46315759,2,eps25,3,1,3,84.84312182007994,12,84.91837629439523,106.05390227509993
Amsterdam,46315759,2,yen,5,1,5,84.84312182007994,12,86.4034949207315,86.4034949207315
Amsterdam,46315759,2,eps10,5,1,5,84.84312182007994,12,86.4034949207315,93.32743400208794
Amsterdam,46315759,2,eps25,5,1,5,84.84312182007994,12,86.4034949207315,106.05390227509993
Amsterdam,46315759,2,yen,15,1,15,84.84312182007994,12,100.52074455767753,100.52074455767753
Amsterdam,46315759,2,eps10,15,1,10,84.84312182007994,12,93.10241957146225,93.32743400208794
Amsterdam,46315759,2,eps25,15,1,15,84.84312182007994,12,100.52074455767753,106.05390227509993
Amsterdam,10775555727,4,ipsp_rho4,3,2,3,25.803693211387124,3,54.10387934490347,508.859091382194
Amsterdam,10775555727,4,ipsp_rho4,5,3,5,25.803693211387124,3,208.82232928859094,9677.745462115105
Amsterdam,10775555727,4,ipsp_rho4,15,4,15,25.803693211387124,3,1073.7735202235217,18200915305.682808
Amsterdam,10775555727,4,ipsp_rho125,3,1,3,25.803693211387124,3,45.322171517206264,49.69327064279238
Amsterdam,10775555727,4,ipsp_rho125,5,2,5,25.803693211387124,3,54.10387934490347,92.2941728793631
Amsterdam,10775555727,4,ipsp_rho125,15,2,15,25.803693211387124,3,63.407999520645774,1541.6774934098414
Amsterdam,10775555727,4,yen,3,1,3,25.803693211387124,3,44.44843671438411,44.44843671438411
Amsterdam,10775555727,4,eps10,3,1,1,25.803693211387124,3,25.803693211387124,28.38406253252584
Amsterdam,10775555727,4,eps25,3,1,1,25.803693211387124,3,25.803693211387124,32.2546165142339
Amsterdam,10775555727,4,yen,5,2,5,25.803693211387124,3,54.10387934490347,54.10387934490347
Amsterdam,10775555727,4,eps10,5,1,1,25.803693211387124,3,25.803693211387124,28.38406253252584
Amsterdam,10775555727,4,eps25,5,1,1,25.803693211387124,3,25.803693211387124,32.2546165142339
Amsterdam,10775555727,4,yen,15,2,15,25.803693211387124,3,76.2668131662671,76.2668131662671
Amsterdam,10775555727,4,eps10,15,1,1,25.803693211387124,3,25.803693211387124,28.38406253252584
Amsterdam,10775555727,4,eps25,15,1,1,25.803693211387124,3,25.803693211387124,32.2546165142339
Amsterdam,10799514722,1,ipsp_rho4,3,1,3,404.37729944997056,33,516.1278030523684,7526.036791199529
Amsterdam,10799514722,1,ipsp_rho4,5,1,5,404.37729944997056,33,873.354344542841,137312.58865919246
Amsterdam,10799514722,1,ipsp_rho4,15,1,15,404.37729944997056,33,1053.8738103473524,232566385445.9014
Amsterdam,10799514722,1,ipsp_rho125,3,1,3,404.37729944997056,33,491.90302965375344,734.9645303905791
Amsterdam,10799514722,1,ipsp_rho125,5,1,5,404.37729944997056,33,506.9076074687548,1309.5148912352797
Amsterdam,10799514722,1,ipsp_rho125,15,1,15,404.37729944997056,33,748.9393190416677,19699.139089652148
Amsterdam,46478508,2,ipsp_rho4,3,2,3,387.3426218884213,46,550.9791441759047,7669.481950214741
Amsterdam,46478508,2,ipsp_rho4,5,2,5,387.3426218884213,46,667.7809378012859,146263.71120343584
Amsterdam,46478508,2,ipsp_rho4,15,2,15,387.3426218884213,46,1231.53552935109,276848926998.85394
Amsterdam,46478508,2,ipsp_rho125,3,1,3,387.3426218884213,46,498.2536868141909,748.9728467006584
Amsterdam,46478508,2,ipsp_rho125,5,2,5,387.3426218884213,46,541.6453472343621,1394.8794479697785
Amsterdam,46478508,2,ipsp_rho125,15,2,15,387.3426218884213,46,670.1919138951574,23450.01625800299
Amsterdam,46478508,2,yen,3,1,3,387.3426218884213,46,387.98481618887894,387.98481618887894
Amsterdam,46478508,2,eps10,3,1,3,387.3426218884213,46,387.98481618887894,426.0768840772635
Amsterdam,46478508,2,eps25,3,1,3,387.3426218884213,46,387.98481618887894,484.17827736052664
Amsterdam,46478508,2,yen,5,1,5,387.3426218884213,46,388.64557512267066,388.64557512267066
Amsterdam,46478508,2,eps10,5,1,5,387.3426218884213,46,388.64557512267066,426.0768840772635
Amsterdam,46478508,2,eps25,5,1,5,387.3426218884213,46,388.64557512267066,484.17827736052664
Amsterdam,46478508,2,yen,15,1,15,387.3426218884213,46,392.21827157901214,392.21827157901214
Amsterdam,46478508,2,eps10,15,1,15,387.3426218884213,46,392.21827157901214,426.0768840772635
Amsterdam,46478508,2,eps25,15,1,15,387.3426218884213,46,392.21827157901214,484.17827736052664
Amsterdam,1025242720,2,ipsp_rho4,3,2,3,137.33770991959608,18,295.8852276984731,2773.4033587135373
Amsterdam,1025242720,2,ipsp_rho4,5,2,5,137.33770991959608,18,559.5560472737727,53590.4537394166
Amsterdam,1025242720,2,ipsp_rho4,15,2,15,137.33770991959608,18,797.571554826521,104512045700.2625
Amsterdam,1025242720,2,ipsp_rho125,3,1,3,137.33770991959608,18,168.40840833089894,270.8401717493689
Amsterdam,1025242720,2,ipsp_rho125,5,1,5,137.33770991959608,18,168.6829556237533,511.0783933583889
Amsterdam,1025242720,2,ipsp_rho125,15,2,15,137.33770991959608,18,345.32404113822304,8852.514609306947
Amsterdam,46291576,4,ipsp_rho4,3,2,3,17.895596988464256,3,164.75188840778728,382.3295518154281
Amsterdam,46291576,4,ipsp_rho4,5,2,5,17.895596988464256,3,258.74525989528985,7653.272829046849
Amsterdam,46291576,4,ipsp_rho4,15,4,15,17.895596988464256,3,779.461791030541,16078101889.99063
Amsterdam,46291576,4,ipsp_rho125,3,1,3,17.895596988464256,3,19.197901298538287,37.336870294475396
Amsterdam,46291576,4,ipsp_rho125,5,1,5,17.895596988464256,3,19.197901298538287,72.98729733511782
Amsterdam,46291576,4,ipsp_rho125,15,2,15,17.895596988464256,3,192.41229206682775,1361.86820301337
Amsterdam,46291576,4,yen,3,1,3,17.895596988464256,3,22.093921130269415,22.093921130269415
Amsterdam,46291576,4,eps10,3,1,2,17.895596988464256,3,19.197901298538287,19.685156687310684
Amsterdam,46291576,4,eps25,3,1,3,17.895596988464256,3,22.093921130269415,22.36949623558032
Amsterdam,46291576,4,yen,5,1,5,17.895596988464256,3,48.41300662273721,48.41300662273721
Amsterdam,46291576,4,eps10,5,1,2,17.895596988464256,3,19.197901298538287,19.685156687310684
Amsterdam,46291576,4,eps25,5,1,3,17.895596988464256,3,22.093921130269415,22.36949623558032
Amsterdam,46291576,4,yen,15,1,15,17.895596988464256,3,62.96371853825099,62.96371853825099
Amsterdam,46291576,4,eps10,15,1,2,17.895596988464256,3,19.197901298538287,19.685156687310684
Amsterdam,46291576,4,eps25,15,1,3,17.895596988464256,3,22.093921130269415,22.36949623558032
Amsterdam,46312105,2,ipsp_rho4,3,2,3,88.53203192655849,11,164.05003194033904,1768.5125108249358
Amsterdam,46312105,2,ipsp_rho4,5,2,5,88.53203192655849,11,246.03918212980224,33928.20017319897
Amsterdam,46312105,2,ipsp_rho4,15,2,15,88.53203192655849,11,789.6088114857969,65104196584.81229
Amsterdam,46312105,2,ipsp_rho125,3,1,3,88.53203192655849,11,103.99638999866715,172.70629988524763
Amsterdam,46312105,2,ipsp_rho125,5,2,5,88.53203192655849,11,123.3113911875192,323.56453107069945
Amsterdam,46312105,2,ipsp_rho125,15,2,15,88.53203192655849,11,184.72981170903162,5514.53995118569
Amsterdam,1027384965,3,ipsp_rho4,3,2,3,56.58204639079173,9,127.71587590246475,1193.3127422526677
