city,orientation,d,w,kappa
Amsterdam,AD,46283554,0.0247252747252747,1
Amsterdam,AD,46301596,0.0027472527472527,3
Amsterdam,AD,9994804154,0.0192307692307692,1
Amsterdam,AD,46342860,0.0412087912087912,2
Amsterdam,AD,46361036,0.0164835164835164,3
Amsterdam,AD,46383470,0.0054945054945054,1
Amsterdam,AD,12631632169,0.0192307692307692,1
Amsterdam,AD,4333085459,0.0274725274725274,2
Amsterdam,AD,46483761,0.0549450549450549,3
Amsterdam,AD,46511089,0.0109890109890109,1
Amsterdam,AD,8942712546,0.0027472527472527,2
Amsterdam,AD,46183572,0.0164835164835164,50
Amsterdam,AD,46183572,0.0082417582417582,50
Amsterdam,AD,46183572,0.0082417582417582,50
Amsterdam,AD,1525015190,0.0082417582417582,0
Amsterdam,AD,1525015190,0.1565934065934066,0
Amsterdam,AD,1525015190,0.0247252747252747,0
Amsterdam,AD,1525015190,0.0027472527472527,0
Amsterdam,AD,46245850,0.0027472527472527,2
Amsterdam,AD,7124646368,0.0192307692307692,1
Amsterdam,AD,4821599020,0.0109890109890109,1
Amsterdam,AD,46342863,0.0054945054945054,2
Amsterdam,AD,1833960246,0.0027472527472527,1
Amsterdam,AD,5213036077,0.0274725274725274,1
Amsterdam,AD,46483277,0.0961538461538461,4
Amsterdam,AD,6149973645,0.0109890109890109,2
Amsterdam,AD,46183572,0.0219780219780219,50
Amsterdam,AD,46183572,0.0109890109890109,50
Amsterdam,AD,1525015190,0.0164835164835164,0
Amsterdam,AD,1525015190,0.0412087912087912,0
Amsterdam,AD,3295119971,0.1510989010989011,1
Amsterdam,AD,6472987925,0.0027472527472527,2
Amsterdam,AD,4921687164,0.0054945054945054,2
Amsterdam,AD,46359172,0.0109890109890109,2
Amsterdam,AD,9794426407,0.0027472527472527,1
Amsterdam,AD,8718272188,0.0027472527472527,2
Amsterdam,AD,1420479344,0.0027472527472527,1
Amsterdam,AD,46483810,0.0109890109890109,4
Amsterdam,AD,46183572,0.0054945054945054,50
Amsterdam,AD,1525015190,0.0027472527472527,0
Amsterdam,AD,1525015190,0.0274725274725274,0
Amsterdam,AD,46241980,0.0082417582417582,0
Amsterdam,AD,1511600045,0.0054945054945054,1
Amsterdam,AD,1673410150,0.0219780219780219,2
Amsterdam,AD,3752782350,0.0082417582417582,2
Amsterdam,AD,46463601,0.0027472527472527,1
Amsterdam,AD,46241980,0.0027472527472527,0
Amsterdam,AD,46247628,0.0549450549450549,50
Amsterdam,AD,46247628,0.0164835164835164,50
Amsterdam,AD,5856758093,0.0054945054945054,2
Amsterdam,AD,1585496185,0.0082417582417582,3
Amsterdam,AD,10006078012,0.0027472527472527,1
Amsterdam,AD,3295119971,0.0219780219780219,1
Amsterdam,AD,46241980,0.0192307692307692,0
Amsterdam,AD,46247628,0.0027472527472527,50
Amsterdam,AD,46247628,0.0521978021978022,50
Amsterdam,AD,46247628,0.0137362637362637,50
Amsterdam,AD,46248282,0.0082417582417582,1
Amsterdam,AD,1638916771,0.0137362637362637,2
Amsterdam,AD,46375408,0.0027472527472527,1
Amsterdam,AD,46241980,0.0054945054945054,0
Amsterdam,AD,46247628,0.0027472527472527,50
Amsterdam,AD,7880730309,0.0027472527472527,1
Amsterdam,AD,5859007113,0.0439560439560439,1
Amsterdam,AD,46336052,0.0302197802197802,1
Amsterdam,AD,10058947369,0.0027472527472527,1
Amsterdam,AD,9861343403,0.0082417582417582,1
Amsterdam,AD,7880730309,0.0027472527472527,1
Amsterdam,AD,7880730309,0.0027472527472527,1
Amsterdam,AD,5852185311,0.0521978021978022,1
Amsterdam,AD,46336665,0.0027472527472527,1
Amsterdam,AD,11029570311,0.0027472527472527,2
Amsterdam,AD,7880730309,0.0027472527472527,1
Amsterdam,AD,75665280,0.0439560439560439,1
Amsterdam,AD,5171787622,0.0027472527472527,1
Amsterdam,AD,7880730309,0.0027472527472527,1
Amsterdam,AD,1263124731,0.0329670329670329,1
Amsterdam,AD,2396583192,0.0027472527472527,1
Amsterdam,AD,7880730309,0.0027472527472527,1
Amsterdam,AD,8699225628,0.0054945054945054,1
Amsterdam,AD,10204872903,0.0027472527472527,1
Amsterdam,DA,7889568436,0.0027472527472527,1
Amsterdam,DA,1359387752,0.0054945054945054,1
Amsterdam,DA,1359387759,0.0109890109890109,1
Amsterdam,DA,46547509,0.0054945054945054,1
Amsterdam,DA,1764586015,0.0082417582417582,2
Amsterdam,DA,46410367,0.0027472527472527,1
Amsterdam,DA,46315539,0.0027472527472527,1
Amsterdam,DA,830007801,0.0027472527472527,2
Amsterdam,DA,4729918422,0.0109890109890109,1
Amsterdam,DA,1224210135,0.0027472527472527,2
Amsterdam,DA,46276656,0.0027472527472527,1
Amsterdam,DA,46315759,0.0027472527472527,2
Amsterdam,DA,10775555727,0.0714285714285714,1
Amsterdam,DA,10799514722,0.0027472527472527,1
