node,w,kappa,cut_u,cut_v
5415925996,18.0,1,5415925996,13021384481
5490206332,23.0,2,-1,-1
42979387,25.0,2,-1,-1
42984389,2.0,4,-1,-1
5490198152,4.0,3,-1,-1
42964338,1.0,1,42964338,42947921
42968839,1.0,3,-1,-1
42950575,4.0,3,-1,-1
43008850,33.0,1,43008850,42990389
43026058,11.0,2,-1,-1
7669229288,5.0,1,7669229288,42967827
4409064075,6.0,1,4409064075,4409064080
5624738398,3.0,1,5624738398,43000146
5974757592,1.0,1,5974757592,42944469
42951717,1.0,4,-1,-1
43006801,1.0,4,-1,-1
5490119519,13.0,1,5490119519,42988530
42976350,1.0,1,42976350,42976348
42993501,1.0,2,-1,-1
13128789822,68.0,16777217,-1,-1
42958330,7.0,16777219,-1,-1
2396863249,1.0,2,-1,-1
2396863415,1.0,2,-1,-1
2396863470,1.0,1,2396863442,2396863445
2396863484,1.0,1,2396863442,2396863445
409695827,1.0,1,409695827,10778890388
42998398,1.0,2,-1,-1
42998388,1.0,2,-1,-1
42951650,1.0,4,-1,-1
42993059,1.0,2,-1,-1
