city,d,cut_u,cut_v,cut_first,cut_hops,entry_diam_m,cut_substrate
New York City,3658729746,3658729749,3154320975,1,0,59.3,1
New York City,3785702998,3785702998,8152930806,1,0,25.4,1
New York City,4207683796,4207683796,42442889,1,0,48.6,1
New York City,4359063907,10028578350,5319036535,1,0,35.9,1
New York City,4562144528,4562144509,42527875,0,1,64.5,1
New York City,4792148752,4792148751,42525924,1,0,37.1,1
New York City,5244355654,5244360285,5244355664,1,0,23.9,1
New York City,5331175891,5331175891,42979045,1,0,80.3,1
New York City,5482739908,5482739920,42730131,1,0,49.9,1
New York City,5482751754,12834527395,461054945,0,5,33.1,1
New York City,5487787906,5487787909,42523094,1,0,22.5,1
New York City,5487966186,42504607,42493338,0,6,50.4,1
New York City,5488475475,5488475475,42466801,1,0,23.0,1
New York City,5488802851,5488802844,42468943,1,0,34.1,1
New York City,5490200725,5490200756,447832829,0,3,80.2,1
New York City,5490237310,5490237313,42978735,1,0,25.6,1
New York City,5490239817,42978045,42978048,0,3,47.7,1
New York City,5490647779,5490647780,42881650,1,0,23.6,1
New York City,5490764966,5490764964,5490764969,0,2,36.4,1
New York City,5511403888,1012642818,42886898,1,0,28.5,1
New York City,5542680320,8847352139,42442977,1,0,40.5,1
New York City,5591684348,5591684340,42851185,1,0,309.7,1
New York City,5633092885,5633092885,43008091,1,0,45.4,1
New York City,5969626068,4378191708,4378191692,0,6,15.8,1
New York City,6069788569,8620532517,42435632,1,0,53.3,1
New York City,6517112874,6517112877,6358216214,1,0,65.1,1
New York City,6852817862,6852817869,6852817863,1,0,15.3,1
New York City,6856727460,4562863353,42428016,1,0,126.4,1
New York City,6912997228,6912997188,5490480513,0,10,32.0,1
New York City,6944173478,6944173191,274286558,1,0,36.5,1
New York City,7153388593,42888688,42926417,1,0,63.5,1
New York City,7154086680,5487758244,42860174,1,0,31.6,1
New York City,7187138251,7187138251,42516233,1,0,83.3,1
New York City,7262048929,7260110742,7260110743,0,2,36.0,1
New York City,7529909890,7529909894,42448857,0,2,42.5,1
New York City,7776323315,7672123701,42983670,1,0,18.3,1
New York City,7980767176,4874331315,42797342,0,44,86.5,1
New York City,7991293490,7991293486,42832852,1,0,53.7,1
New York City,8288359109,8682244575,42854743,1,0,19.5,1
New York City,8396036443,42442410,42442415,1,0,104.3,1
New York City,8427466349,4604441065,1934650072,0,2,56.0,1
New York City,8430423167,4874331315,42797342,0,56,21.8,1
New York City,8430568197,4874331315,42797342,0,60,44.3,1
New York City,8479232349,8479232349,42876628,1,0,48.3,1
New York City,8653966168,8653966167,42769214,1,0,69.9,1
New York City,8667656781,8667656781,8667656774,1,0,100.5,1
New York City,8840333846,8840333846,8840333851,1,0,46.8,1
New York City,8886860809,8886860809,9851401679,1,0,71.6,1
New York City,8997098205,8997098208,42813859,1,0,88.8,1
New York City,9328192136,106064636,1957257298,0,26,75.6,1
New York City,9431534462,9203619927,42728689,0,1,42.2,1
New York City,9440601356,5487836583,5487836572,1,0,23.5,1
New York City,9902399061,9902399056,4557495130,1,0,12.4,1
New York City,9989967345,11737486805,42833618,1,0,34.0,1
New York City,10213036736,10213036746,10213036735,1,0,107.4,1
New York City,10289112179,5147693382,42829095,0,1,33.9,1
New York City,10684406368,6497126472,5438406081,1,0,26.2,1
New York City,10774439599,7708763530,42832534,1,0,64.6,1
New York City,11045308222,7192545133,42957933,0,2,18.1,1
New York City,11107965045,11107965045,13006259002,1,0,30.8,1
New York City,11184435646,42810260,7873818331,0,2,143.6,1
New York City,11292288407,42886595,42886591,0,3,39.9,1
New York City,11330020306,11330009602,3451511635,0,1,20.3,1
New York City,11335286477,599044264,8874189962,0,4,193.7,1
New York City,11620144705,2795447512,2795447513,1,0,33.2,1
New York City,11910331869,5490149236,10133930930,0,1,51.6,1
New York City,11925988621,8288560711,12096650285,0,4,113.4,1
New York City,12777940480,12777940451,12581332957,0,4,47.8,1
New York City,12987220918,12987220918,42521149,1,0,37.0,1
New York City,13070335217,5490639636,5490639635,1,0,34.9,1
