city,k_label,d,w,kappa
Amsterdam,1,46424348,0.005494505494505495,2
Amsterdam,1,46445293,0.046703296703296704,3
Amsterdam,1,46466887,0.06868131868131869,3
Amsterdam,1,46485162,0.024725274725274724,2
Amsterdam,1,262890788,0.0027472527472527475,1
Amsterdam,1,11293422861,0.016483516483516484,1
Amsterdam,1,46264173,0.01098901098901099,1
Amsterdam,1,2801224787,0.008241758241758242,2
Amsterdam,1,46303183,0.15384615384615385,3
Amsterdam,1,2822146021,0.2967032967032967,1
Amsterdam,1,2348249485,0.37362637362637363,50
Amsterdam,1,46360124,0.10989010989010989,1
Amsterdam,1,1715273753,0.06868131868131869,1
Amsterdam,1,46404184,0.008241758241758242,2
Amsterdam,1,46420912,0.0027472527472527475,2
Amsterdam,1,6904057007,0.03021978021978022,1
Amsterdam,1,46460895,0.01098901098901099,3
Amsterdam,1,6537188447,0.008241758241758242,1
Amsterdam,1,10555373720,0.019230769230769232,1
Amsterdam,1,46535755,0.0027472527472527475,2
Amsterdam,1,46183572,0.02197802197802198,50
Amsterdam,1,46183572,0.008241758241758242,50
Amsterdam,1,46183572,0.005494505494505495,50
Amsterdam,1,12655469626,0.0027472527472527475,1
Amsterdam,1,12022263753,0.0027472527472527475,1
Amsterdam,1,46283936,0.08791208791208792,1
Amsterdam,1,46302228,0.019230769230769232,3
Amsterdam,1,46322722,0.024725274725274724,2
Amsterdam,1,2013949658,0.3269230769230769,3
Amsterdam,1,46361012,0.08241758241758242,3
Amsterdam,1,46381772,0.03021978021978022,1
Amsterdam,1,6949019795,0.10714285714285714,2
Amsterdam,1,46415865,0.0027472527472527475,2
Amsterdam,1,10584629971,0.39285714285714285,0
Amsterdam,1,46512176,0.0027472527472527475,1
Amsterdam,1,46183572,0.02197802197802198,50
Amsterdam,1,46183572,0.0027472527472527475,50
Amsterdam,1,46183572,0.01098901098901099,50
Amsterdam,1,46183572,0.09065934065934066,50
Amsterdam,1,1525015190,0.0027472527472527475,1
Amsterdam,1,1525015190,0.016483516483516484,1
Amsterdam,1,46245091,0.02197802197802198,2
Amsterdam,1,46262650,0.0027472527472527475,2
Amsterdam,1,46283554,0.024725274725274724,1
Amsterdam,1,46301596,0.0027472527472527475,3
Amsterdam,1,9994804154,0.019230769230769232,1
Amsterdam,1,46342860,0.04120879120879121,3
Amsterdam,1,46361036,0.016483516483516484,3
Amsterdam,1,46383470,0.005494505494505495,1
Amsterdam,1,12631632169,0.019230769230769232,1
Amsterdam,1,4333085459,0.027472527472527472,2
Amsterdam,1,46483761,0.054945054945054944,3
Amsterdam,1,46511089,0.01098901098901099,1
Amsterdam,1,8942712546,0.0027472527472527475,2
Amsterdam,1,46183572,0.016483516483516484,50
Amsterdam,1,46183572,0.008241758241758242,50
Amsterdam,1,46183572,0.008241758241758242,50
Amsterdam,1,1525015190,0.008241758241758242,1
Amsterdam,1,1525015190,0.1565934065934066,1
Amsterdam,1,1525015190,0.024725274725274724,1
Amsterdam,1,1525015190,0.0027472527472527475,1
Amsterdam,1,46245850,0.0027472527472527475,2
Amsterdam,1,7124646368,0.019230769230769232,1
Amsterdam,1,4821599020,0.01098901098901099,1
Amsterdam,1,46342863,0.005494505494505495,2
Amsterdam,1,1833960246,0.0027472527472527475,1
Amsterdam,1,5213036077,0.027472527472527472,1
Amsterdam,1,46483277,0.09615384615384616,4
Amsterdam,1,6149973645,0.01098901098901099,2
Amsterdam,1,46183572,0.02197802197802198,50
Amsterdam,1,46183572,0.01098901098901099,50
Amsterdam,1,1525015190,0.016483516483516484,1
Amsterdam,1,1525015190,0.04120879120879121,1
Amsterdam,1,3295119971,0.1510989010989011,0
Amsterdam,1,6472987925,0.0027472527472527475,2
Amsterdam,1,4921687164,0.005494505494505495,2
Amsterdam,1,46359172,0.01098901098901099,2
Amsterdam,1,9794426407,0.0027472527472527475,1
Amsterdam,1,8718272188,0.0027472527472527475,2
Amsterdam,1,1420479344,0.0027472527472527475,1
Amsterdam,1,46483810,0.01098901098901099,3
Amsterdam,1,46183572,0.005494505494505495,50
Amsterdam,1,1525015190,0.0027472527472527475,1
Amsterdam,1,1525015190,0.027472527472527472,1
Amsterdam,1,46241980,0.008241758241758242,2
Amsterdam,1,1511600045,0.005494505494505495,1
