city,orientation,k,d,w,kappa,outdeg,cut_first,cut_hops
Amsterdam,AD,1,46268594,0.08516483516483517,4,4,-1,-1
Amsterdam,AD,1,46285788,0.019230769230769232,2,2,-1,-1
Amsterdam,AD,1,46306163,0.1813186813186813,2,1,-1,-1
Amsterdam,AD,1,295693437,0.2692307692307692,4,4,-1,-1
Amsterdam,AD,1,46345823,0.3708791208791209,3,3,-1,-1
Amsterdam,AD,1,3188225066,0.2802197802197802,2,2,-1,-1
Amsterdam,AD,1,442122363,0.521978021978022,1,1,-1,-1
Amsterdam,AD,1,46404672,0.8626373626373627,2,1,-1,-1
Amsterdam,AD,1,814763666,0.19230769230769232,2,2,-1,-1
Amsterdam,AD,1,6796780752,0.03571428571428571,1,3,-1,-1
Amsterdam,AD,1,8542668458,0.005494505494505495,1,1,-1,-1
Amsterdam,AD,1,6066265670,0.03021978021978022,2,3,-1,-1
Amsterdam,AD,1,46499694,0.016483516483516484,1,3,-1,-1
Amsterdam,AD,1,6867794194,0.0027472527472527475,1,3,-1,-1
Amsterdam,AD,1,810541337,0.005494505494505495,2,4,-1,-1
Amsterdam,AD,1,4847860136,0.0027472527472527475,1,1,-1,-1
Amsterdam,AD,1,456854630,0.024725274725274724,2,2,-1,-1
Amsterdam,AD,1,46265190,0.18406593406593408,4,4,-1,-1
Amsterdam,AD,1,460441709,0.12912087912087913,1,2,-1,-1
Amsterdam,AD,1,12922375582,0.06318681318681318,0,1,-1,-1
Amsterdam,AD,1,46326107,0.10164835164835165,1,1,-1,-1
Amsterdam,AD,1,46345386,0.07692307692307693,3,2,-1,-1
Amsterdam,AD,1,46361614,0.03021978021978022,1,1,-1,-1
Amsterdam,AD,1,46385113,0.04395604395604396,2,2,-1,-1
Amsterdam,AD,1,292241354,0.054945054945054944,1,3,-1,-1
Amsterdam,AD,1,46431917,0.005494505494505495,1,1,-1,-1
Amsterdam,AD,1,794301414,0.038461538461538464,1,1,-1,-1
Amsterdam,AD,1,46467229,0.07142857142857142,1,1,-1,-1
Amsterdam,AD,1,11962862993,0.03021978021978022,2,3,-1,-1
Amsterdam,AD,1,12549240144,0.03296703296703297,1,1,-1,-1
Amsterdam,AD,1,7552907634,0.0027472527472527475,2,3,-1,-1
Amsterdam,AD,1,3167200102,0.005494505494505495,2,3,-1,-1
Amsterdam,AD,1,2767260184,0.005494505494505495,1,1,-1,-1
Amsterdam,AD,1,46563813,0.0027472527472527475,2,3,-1,-1
Amsterdam,AD,1,46206669,0.005494505494505495,1,1,-1,-1
Amsterdam,AD,1,2053253428,0.0027472527472527475,1,2,-1,-1
Amsterdam,AD,1,636093337,0.01098901098901099,2,2,-1,-1
Amsterdam,AD,1,8441540293,0.027472527472527472,1,1,-1,-1
Amsterdam,AD,1,46304170,0.03571428571428571,1,3,-1,-1
