expH,rpe_prime,Li_div,Deng_pm,config,city,d,kappa,D
1.000034488114525,1.0000033934262855,0.9424246563807418,15.0,single,Amsterdam,2772719489,1,1
1.000034488114525,1.0000037926544216,0.9744003033867757,15.0,multi,Amsterdam,2772719489,2,2
1.0000000000004134,1.0000000000000213,0.9594382733665195,15.0,single,Amsterdam,46371106,1,1
1.0000077807371035,1.000000716742537,0.9858308498313539,15.0,multi,Amsterdam,46371106,4,4
1.0,1.0,0.9817150815362276,15.0,single,Amsterdam,3300515578,2,2
1.0000000007225656,1.000000000033629,0.9881373337975176,15.0,multi,Amsterdam,3300515578,5,5
1.0,1.0,0.9304397011607399,15.0,single,Amsterdam,46411017,1,1
1.0,1.0,0.9415170094483429,15.0,multi,Amsterdam,46411017,1,1
1.0,1.0,0.9769830104098407,15.0,single,Amsterdam,46435511,2,2
1.0000000015401669,1.0000000001257812,0.9821663826816273,15.0,multi,Amsterdam,46435511,3,3
1.0,1.0,0.9684501741255245,15.0,single,Amsterdam,1615543977,2,2
1.0,1.0,0.9832494994816975,15.0,multi,Amsterdam,1615543977,4,4
1.0,1.0,0.9659183318417105,15.0,single,Amsterdam,46468706,3,3
1.0,1.0,0.9787308124420167,15.0,multi,Amsterdam,46468706,4,4
1.0000000016208899,1.0000000001289773,0.9631981652640444,15.0,single,Amsterdam,1718573622,2,2
1.1391561644979302,1.0572631465341709,0.9678776703620035,15.0,multi,Amsterdam,1718573622,2,2
1.0,1.0,0.9267424694500892,15.0,single,Amsterdam,8439295219,1,1
1.0000580760086952,1.000005676258306,0.9740039299154986,15.0,multi,Amsterdam,8439295219,4,4
1.0749104136034004,1.0266514964864653,0.970190090895158,15.0,single,Amsterdam,46514806,2,2
1.1237461842314158,1.049125458194153,0.984274541661045,15.0,multi,Amsterdam,46514806,3,3
1.0000671143528133,1.0000091763601577,0.9700271323598942,15.0,single,Amsterdam,46173879,2,2
1.0000001092114068,1.0000000109063794,0.9737648664693919,15.0,multi,Amsterdam,46173879,2,2
1.0000671143527857,1.0000093293009185,0.9718651982109359,15.0,single,Amsterdam,46188193,2,2
1.0000671143527857,1.0000094874261631,0.9754852477956558,15.0,multi,Amsterdam,46188193,3,3
1.0000000004759697,1.0000000000363494,0.9528327655961986,15.0,single,Amsterdam,46209547,1,1
1.010755960438827,1.0026793674085688,0.9714704036972786,15.0,multi,Amsterdam,46209547,2,2
1.0000000000875346,1.0000000000063727,0.9609155234165925,15.0,single,Amsterdam,46226051,2,2
1.0,1.0,0.9676593910092924,15.0,multi,Amsterdam,46226051,2,2
1.0,1.0,0.9382011960806608,15.0,single,Amsterdam,46249918,1,1
1.0,1.0,0.9474872039521052,15.0,multi,Amsterdam,46249918,1,1
1.000000000005411,1.0000000000002687,0.9682181618502631,15.0,single,Amsterdam,280989731,2,2
1.0,1.0,0.9736146728467212,15.0,multi,Amsterdam,280989731,3,3
2.0,1.0,0.9179348372708338,15.0,single,Amsterdam,46288279,1,1
2.0,1.0,0.9332322002927032,15.0,multi,Amsterdam,46288279,2,2
5.000000000000001,0.9999999999999996,0.8691428683734634,15.0,single,Amsterdam,46309533,3,3
2.9999999999999996,1.0,0.9427877516118709,15.0,multi,Amsterdam,46309533,5,5
1.0000417896850824,1.0000060980851007,0.9538723768900363,15.0,single,Amsterdam,46330371,2,2
1.0384045885337378,1.012472434744804,0.9758561231742033,15.0,multi,Amsterdam,46330371,4,4
1.000025177979306,1.0000030044915311,0.9597126537101686,15.0,single,Amsterdam,46348429,3,3
1.0000019848519088,1.0000001950420128,0.9638486102025374,15.0,multi,Amsterdam,46348429,4,4
1.0000000024725242,1.0000000001962654,0.974403879379464,15.0,single,Amsterdam,46369747,2,2
1.0000000000044023,1.000000000000291,0.982473275001529,15.0,multi,Amsterdam,46369747,4,4
1.0,1.0,0.9471979314193493,15.0,single,Amsterdam,46389668,1,1
1.0,1.0,0.949600658411917,15.0,multi,Amsterdam,46389668,1,1
1.0000000000720735,1.0000000000049247,0.9443719452032532,15.0,single,Amsterdam,940042043,1,1
1.0000000000720735,1.0000000000051106,0.9605493538344226,15.0,multi,Amsterdam,940042043,1,1
1.0,1.0,0.9742026931260652,15.0,single,Amsterdam,46429656,2,2
1.0,1.0,0.9860580935345692,15.0,multi,Amsterdam,46429656,4,4
1.0000000000000029,1.0,0.9683739119439805,15.0,single,Amsterdam,1284046432,2,2
1.0000000000000029,1.0,0.975920629529351,15.0,multi,Amsterdam,1284046432,3,3
1.0000000000742193,1.000000000004974,0.9411808851674525,15.0,single,Amsterdam,7886095726,1,1
1.0000000000742193,1.0000000000051248,0.9589436045428885,15.0,multi,Amsterdam,7886095726,1,1
1.000000000004719,1.0000000000003144,0.9540369062914826,15.0,single,Amsterdam,7997216056,1,1
1.000000000004719,1.0000000000003193,0.9638277771264896,15.0,multi,Amsterdam,7997216056,2,2
1.0000000000000002,1.0,0.9781601897095733,15.0,single,Amsterdam,46187415,3,3
1.0000000005513396,1.000000000042534,0.9786327191435359,15.0,multi,Amsterdam,46187415,4,3
1.0000026459115368,1.0000003122491756,0.9615231958896521,15.0,single,Amsterdam,46232048,2,2
1.0009330790761681,1.000177574763148,0.9663424118409781,15.0,multi,Amsterdam,46232048,2,2
1.0,1.0,0.9017570754005636,15.0,single,Amsterdam,6239303038,1,1
1.0,1.0,0.9219999367277051,15.0,multi,Amsterdam,6239303038,1,1
1.0000000000143865,1.0000000000007994,0.9859243841138303,15.0,single,Amsterdam,46269468,3,3
1.000000000000637,1.0000000000000362,0.9864834797674626,15.0,multi,Amsterdam,46269468,4,4
1.0,1.0,0.9622599920285164,15.0,single,Amsterdam,46289304,1,1
1.000399680108667,1.000048228019162,0.9843249392836829,15.0,multi,Amsterdam,46289304,4,4
1.6283794464474042,1.4206374520423515,0.9369835490121758,15.0,single,Amsterdam,46308006,1,1
1.5631822918464995,1.3785454639656851,0.9607541633801826,15.0,multi,Amsterdam,46308006,3,3
1.0,1.0,0.9156864821074633,15.0,single,Amsterdam,46328500,1,1
1.0000000000071796,1.0000000000004496,0.9248474533875795,15.0,multi,Amsterdam,46328500,1,1
1.0000000000000357,1.0000000000000027,0.9824330849558535,15.0,single,Amsterdam,2311089467,3,3
1.0000000000000016,1.0,0.9855174189468241,15.0,multi,Amsterdam,2311089467,5,5
1.0,1.0,0.9679816476234592,15.0,single,Amsterdam,46365716,2,2
1.0000000000000655,1.0000000000000038,0.9870060649140666,15.0,multi,Amsterdam,46365716,4,4
1.0000000000000115,1.0000000000000009,0.9833029990033807,15.0,single,Amsterdam,1624052875,4,4
1.0,1.0,0.9858995605828084,15.0,multi,Amsterdam,1624052875,5,5
1.0000000406030467,1.0000000037208225,0.9824397550502438,15.0,single,Amsterdam,46410072,3,3
1.0000026129557165,1.0000003131363524,0.9849434017687029,15.0,multi,Amsterdam,46410072,4,4
1.0,1.0,0.9633075980596847,15.0,single,Amsterdam,5911917067,1,1
1.0,1.0,0.9773259691698397,15.0,multi,Amsterdam,5911917067,2,2
1.0001001167556816,1.000012544610098,0.9247310943992213,15.0,single,Amsterdam,46450028,2,2
1.000177541238264,1.0000229618600223,0.9448060470870292,15.0,multi,Amsterdam,46450028,3,3
1.0,1.0,0.9401185250030332,15.0,single,Amsterdam,7944358639,1,1
1.0,1.0,0.9724719120866729,15.0,multi,Amsterdam,7944358639,3,3
1.0,1.0,0.9616690533497675,15.0,single,Amsterdam,46173882,1,1
1.0,1.0,0.9817095919103555,15.0,multi,Amsterdam,46173882,4,4
1.0,1.0,0.9664770099712926,15.0,single,Amsterdam,46187268,1,1
1.0,1.0,0.9801508970686833,15.0,multi,Amsterdam,46187268,3,3
1.0000000000525933,1.0000000000037566,0.9712955508054234,15.0,single,Amsterdam,46203773,2,2
1.0,1.0,0.9759157238387703,15.0,multi,Amsterdam,46203773,3,3
1.0,1.0,0.9483593304778909,15.0,single,Amsterdam,7093136772,1,1
1.000000627548485,1.0000000679681147,0.9781840583100434,15.0,multi,Amsterdam,7093136772,2,2
1.0,1.0,0.9537531051551807,15.0,single,Amsterdam,3898433611,1,1
1.0,1.0,0.969019631885834,15.0,multi,Amsterdam,3898433611,2,2
1.0001474926324325,1.0000239146166559,0.9697808598924537,15.0,single,Amsterdam,46270689,3,3
1.0000000332676897,1.0000000031272105,0.9686613704610649,15.0,multi,Amsterdam,46270689,3,3
1.0000177471271368,1.0000020806866061,0.9766268625722717,15.0,single,Amsterdam,46287877,3,3
1.0,1.0,0.9837065091185903,15.0,multi,Amsterdam,46287877,6,5
1.000096769415328,1.000012378241129,0.9817900102456254,15.0,single,Amsterdam,46307544,4,4
1.000000021941792,1.000000001859406,0.98786041318061,15.0,multi,Amsterdam,46307544,7,7
