expH,rpe_prime,Li_div,Deng_pm,city,d,kappa
7.999999999999998,1.0,0.6889275569751896,15.0,Amsterdam,1525015190,1
7.999999999999998,1.0,0.6889275569751896,15.0,Amsterdam,1525015190,1
1.0000000148900186,1.0000000011933599,0.9472164716569381,15.0,Amsterdam,46245850,2
2.791657693035814,1.4029738119751238,0.8884188817772498,15.0,Amsterdam,7124646368,1
1.0000000000377025,1.0000000000024556,0.9343786081058817,15.0,Amsterdam,4821599020,1
1.0,1.0,0.9676536875555231,15.0,Amsterdam,46342863,2
1.0,1.0,0.9527458316910924,15.0,Amsterdam,1833960246,1
1.0000000000000002,1.0,0.8814575609332789,15.0,Amsterdam,5213036077,1
1.0,1.0,0.9766065199933371,15.0,Amsterdam,46483277,4
1.0000000000000397,1.0000000000000022,0.976081360443063,15.0,Amsterdam,6149973645,2
15.0,15.0,1.0,15.0,Amsterdam,46183572,50
15.0,15.0,1.0,15.0,Amsterdam,46183572,50
7.999999999999998,1.0,0.6889275569751896,15.0,Amsterdam,1525015190,1
7.999999999999998,1.0,0.6889275569751896,15.0,Amsterdam,1525015190,1
1.0,1.0,0.9535220931636288,15.0,Amsterdam,6472987925,2
1.0000000000000009,1.0,0.9589657916732234,15.0,Amsterdam,4921687164,2
