city,d,kappa,L1,h1,Bstar2,Bstar3,colocated,reachable
Amsterdam,3416675263,4,83.8575266693431,-1,91.50911270605441,135.55444802394703,False,True
Amsterdam,8036446607,3,34.26177842445807,-1,68.13534582174051,227.069934338792,False,True
Amsterdam,46383015,2,154.6698342871777,-1,346.6677594652518,inf,False,True
Amsterdam,3175895405,1,166.8873628091124,-1,inf,inf,False,True
Amsterdam,46427763,3,91.43041212264188,-1,145.2449993960713,201.33600203627856,False,True
Amsterdam,2102754850,2,164.61855547053932,-1,236.78764941913758,inf,False,True
Amsterdam,7800918439,3,120.55725231767602,-1,235.78316299106723,273.85634383426105,False,True
Amsterdam,1499334820,3,436.893115835694,-1,561.6910788907634,616.6607547010802,False,True
Amsterdam,46513195,4,383.0698109199219,-1,507.867773974991,562.8020033814752,False,True
Amsterdam,46544791,1,473.27365983493326,-1,inf,inf,False,True
Amsterdam,46555017,3,419.0374425422998,-1,476.69279836816537,545.2971131213393,False,True
Amsterdam,10303268574,3,406.59121278540835,-1,492.3407694919823,497.4920840647393,False,True
Amsterdam,4541539713,2,217.97348796097873,-1,548.1448295358095,inf,False,True
Amsterdam,12212407120,1,277.40280175300376,-1,inf,inf,False,True
Amsterdam,11559496557,3,185.67983687199137,-1,216.3818234011493,411.97816062365433,False,True
Amsterdam,46268594,5,126.7761811588588,-1,193.70058172920267,225.77634141749223,False,True
Amsterdam,46285788,5,113.97130389732013,-1,175.78492224506354,212.97146415595358,False,True
Amsterdam,46306163,2,31.20031304121939,-1,95.99857754215347,inf,False,True
Amsterdam,295693437,6,44.87567919333819,-1,66.36730489313787,87.1950149006345,False,True
Amsterdam,46345823,5,33.21073643906698,-1,83.98165038483924,87.98420383294041,False,True
Amsterdam,3188225066,5,24.36818076180017,-1,64.11602165831394,104.73074959698249,False,True
Amsterdam,442122363,4,135.66990220256292,-1,244.05240502631207,284.8034343830361,False,True
Amsterdam,46404672,2,172.9545383221018,-1,273.4896170989802,inf,False,True
Amsterdam,814763666,4,140.6730675485852,-1,204.51841383288746,239.1787028517473,False,True
Amsterdam,6796780752,1,441.7245733831792,-1,inf,inf,False,True
Amsterdam,8542668458,3,386.11623598401417,-1,491.95428455205064,601.3358615242349,False,True
Amsterdam,6066265670,3,340.7612145923526,-1,500.7209353180044,551.0959188432373,False,True
Amsterdam,46499694,1,356.8815178215566,-1,inf,inf,False,True
Amsterdam,6867794194,2,394.2741721409241,-1,623.8861807795574,inf,False,True
Amsterdam,810541337,2,438.92717782427536,-1,565.1590612464391,inf,False,True
Amsterdam,4847860136,2,431.30329785347413,-1,502.4478721945535,inf,False,True
Amsterdam,456854630,5,184.63573469210172,-1,207.26176621159135,270.56208940826224,False,True
Amsterdam,46265190,6,131.38038730191084,-1,230.38054756054427,253.43191522402014,False,True
Amsterdam,460441709,1,132.95705265902825,-1,inf,inf,False,True
Amsterdam,12922375582,2,75.9082049758156,-1,118.8267855381668,inf,False,True
Amsterdam,46326107,2,64.8149626286513,-1,90.39431506894387,inf,False,True
Amsterdam,46345386,4,105.3881446475367,-1,147.9399668713523,181.6005226250275,False,True
Amsterdam,46361614,2,157.05388558233804,-1,204.33352951217063,inf,False,True
Amsterdam,46385113,2,219.28260826395928,-1,248.95254381389006,inf,False,True
Amsterdam,292241354,2,232.61387595566234,-1,280.3045140917146,inf,False,True
Amsterdam,46431917,1,411.9462840596166,-1,inf,inf,False,True
Amsterdam,794301414,1,367.0863536104185,-1,inf,inf,False,True
Amsterdam,46467229,1,341.6920771165221,-1,inf,inf,False,True
Amsterdam,11962862993,2,291.42572064750567,-1,488.66560690695604,inf,False,True
Amsterdam,12549240144,3,311.7907986649678,-1,411.94602622198454,509.83623992471877,False,True
Amsterdam,7552907634,2,364.11638115738003,-1,413.2551833290178,inf,False,True
Amsterdam,3167200102,2,476.7303269510361,-1,531.9474073572114,inf,False,True
Amsterdam,2767260184,2,352.34963199588947,-1,445.50469974323346,inf,False,True
Amsterdam,46563813,3,351.88369814981553,-1,536.6823621878102,596.4270328923628,False,True
Amsterdam,46206669,1,259.1112578118725,-1,inf,inf,False,True
Amsterdam,2053253428,2,240.05054986891918,-1,468.16654046158817,inf,False,True
Amsterdam,636093337,4,190.19807033044378,-1,221.38674321864724,252.89071122367275,False,True
Amsterdam,8441540293,2,140.2236952816006,-1,148.2319817665928,inf,False,True
Amsterdam,46304170,4,55.544117786789684,-1,64.71477441976619,141.35501631840899,False,True
Amsterdam,46325205,4,66.8862769196452,-1,88.75261934106955,94.27999413512858,False,True
Amsterdam,365875639,5,85.7129584353381,-1,129.24919227233244,131.65253759865496,False,True
Amsterdam,5896507775,3,179.07404029761165,-1,232.82142410449921,298.6747690142393,False,True
Amsterdam,46384590,4,212.62596878162532,-1,241.25150591560805,271.58200612544806,False,True
Amsterdam,46405687,1,350.0963215756704,-1,inf,inf,False,True
Amsterdam,46432836,2,348.131633617934,-1,379.8270229805194,inf,False,True
Amsterdam,46446857,3,313.4423638554714,-1,345.1377532180569,524.7567845545744,False,True
Amsterdam,46468710,4,277.7476130572945,-1,377.6447755864169,538.6998565744385,False,True
Amsterdam,46485066,3,261.6481435420024,-1,460.3004719569052,482.4427905082068,False,True
Amsterdam,46498380,4,312.5082577297922,-1,442.23477429646994,511.160586144695,False,True
Amsterdam,46526413,3,263.06873810464697,-1,426.72677215395584,528.2836172664674,False,True
